id,league,season,club_name,home_away,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
71,EPL,2014,Aston Villa,a,0.909774,0.423368,0.909774,0.423368,14.043478260869565,4.125,4,3,1,0,1.8321999999999998,w,2014-08-16 15:00:00,1,0,0,3,0.48640599999999995
71,EPL,2014,Aston Villa,h,0.507525,0.699295,0.507525,0.699295,15.523809523809524,8.571428571428571,4,7,0,0,1.1057,d,2014-08-23 12:45:00,0,1,0,1,-0.19177
71,EPL,2014,Aston Villa,h,0.639316,0.28888,0.639316,0.28888,28.153846153846153,11.583333333333334,6,7,2,1,1.6075,w,2014-08-31 13:30:00,1,0,0,3,0.35043599999999997
71,EPL,2014,Aston Villa,a,0.701676,0.728097,0.701676,0.728097,54.0,6.5,1,5,1,0,1.3252,w,2014-09-13 17:30:00,1,0,0,3,-0.026421000000000028
71,EPL,2014,Aston Villa,h,0.649013,1.36224,0.649013,1.36224,44.25,7.7272727272727275,0,7,0,3,0.6912,l,2014-09-20 15:00:00,0,0,1,0,-0.7132269999999999
71,EPL,2014,Aston Villa,a,0.228896,3.14218,0.228896,3.14218,49.375,18.2,2,6,0,3,0.0219,l,2014-09-27 15:00:00,0,0,1,0,-2.913284
71,EPL,2014,Aston Villa,h,0.690283,2.30634,0.690283,2.30634,25.789473684210527,7.769230769230769,1,12,0,2,0.39339999999999997,l,2014-10-04 17:30:00,0,0,1,0,-1.616057
71,EPL,2014,Aston Villa,a,0.37205,1.67016,0.37205,1.67016,17.25,16.083333333333332,6,7,0,3,0.34140000000000004,l,2014-10-18 15:00:00,0,0,1,0,-1.29811
71,EPL,2014,Aston Villa,a,1.18709,0.81667,1.18709,0.81667,5.590909090909091,13.6,6,3,0,2,1.6813,l,2014-10-27 20:00:00,0,0,1,0,0.37041999999999997
71,EPL,2014,Aston Villa,h,0.872267,2.54173,0.872267,2.54173,14.368421052631579,8.055555555555555,3,11,1,2,0.3639,l,2014-11-02 16:00:00,0,0,1,0,-1.669463
71,EPL,2014,Aston Villa,a,0.560875,1.47873,0.560875,1.47873,14.176470588235293,7.523809523809524,2,15,0,0,0.6379,d,2014-11-08 15:00:00,0,1,0,1,-0.9178550000000001
71,EPL,2014,Aston Villa,h,1.13228,0.863156,1.13228,0.863156,20.857142857142858,6.2,3,14,1,1,1.6318000000000001,d,2014-11-24 20:00:00,0,1,0,1,0.2691239999999999
71,EPL,2014,Aston Villa,a,1.0873,2.3058,1.0873,1.54463,23.09090909090909,10.52,11,7,1,1,0.5442,d,2014-11-29 15:00:00,0,1,0,1,-0.45733
